rho,rho_idx,sampling_mode,nps_intercept,topic_aware,discipline,n_agents,sla_hours,replication,avg_queue_length,avg_waiting_time_days,avg_capacity_utilisation,percent_cases_closed,avg_individual_nps,organisation_nps,total_cases_arrived,total_cases_closed,avg_case_resolution_time_days,percent_cases_closed_last_335,predicted_nps_variance
0.0,0,hard,10.22,False,LRTF,6,None,75,49.87123287671233,53.7337174820624,0.9831050228310502,0.9375,7.989814814814815,23.425925925925924,1152,1080,12.629921082617125,0.933271547729379,0.0019833230863113916
0.0,0,hard,10.22,False,LRTF,6,None,86,18.33150684931507,21.97065262076673,0.9484018264840182,0.9839142091152815,7.856494096276113,21.16257947320618,1119,1101,7.707085016645785,0.982824427480916,0.0018978643770542817
0.0,0,hard,10.22,False,LRTF,6,None,61,106.69315068493151,57.94553450982615,0.9840182648401825,0.8,7.756849315068493,15.639269406392692,1095,876,14.41320445088317,0.7857142857142857,0.0017500549968508569
0.0,0,hard,10.22,False,LRTF,6,None,89,10.638356164383561,11.612224837697447,0.8652968036529681,0.9954669084315503,7.863387978142076,20.40072859744991,1103,1098,5.225135887810651,0.9950738916256158,0.0019971907985958637
0.0,0,hard,10.22,False,LRTF,6,None,87,7.213698630136986,4.533925984977039,0.8789954337899543,0.9762323943661971,7.888187556357078,21.731289449954915,1136,1109,3.6664347011148406,0.9745042492917847,0.0018861300851536634
0.0,0,hard,10.22,False,LRTF,6,None,93,2.8164383561643835,1.3776210063331462,0.780365296803653,0.9857270294380018,7.980995475113122,25.429864253393664,1121,1105,2.371064681392158,0.9847908745247148,0.001913018470072717
0.0,0,hard,10.22,False,LRTF,6,None,90,9.838356164383562,6.820183152105658,0.8579908675799086,0.9914529914529915,7.906034482758621,21.379310344827584,1170,1160,4.688229339397291,0.9906890130353817,0.0017786934211172394
0.0,0,hard,10.22,False,LRTF,6,None,96,2.6931506849315068,1.4834202170263073,0.8328767123287671,0.991869918699187,7.804189435336976,17.395264116575593,1107,1098,2.536749689437145,0.991304347826087,0.002226189065951438
0.0,0,hard,10.22,False,LRTF,6,None,94,13.67945205479452,12.453651418999252,0.963013698630137,0.9780316344463972,7.822102425876011,18.149146451033243,1138,1113,6.242961067133626,0.9760076775431862,0.0022673211765496877
0.0,0,hard,10.22,False,LRTF,6,None,91,18.24931506849315,21.716502604986513,0.9310502283105024,0.9788546255506608,7.927092709270927,22.5022502250225,1135,1111,7.665826690628411,0.9770554493307839,0.001762506682877222
0.0,0,hard,10.22,False,LRTF,6,None,98,13.027397260273972,9.43643677995541,0.910958904109589,0.9581911262798635,7.823686553873553,19.5013357079252,1172,1123,5.23021773762721,0.9557761732851986,0.0020939356836782
0.0,0,hard,10.22,False,LRTF,6,None,100,11.504109589041096,9.545794804370765,0.8885844748858448,0.9964349376114082,8.018783542039357,26.207513416815743,1122,1118,5.472727420891111,0.9961464354527938,0.0019547162332227593
0.0,0,hard,10.22,False,LRTF,6,None,72,91.84383561643835,57.56913423964171,0.9899543378995433,0.8615520282186949,7.848515864892528,19.549641760491305,1134,977,15.25366034285107,0.8507604562737643,0.0020428501315251676
0.0,0,hard,10.22,False,LRTF,6,None,80,70.86027397260274,62.699320186396584,0.9894977168949772,0.9226973684210527,7.814616755793226,17.557932263814617,1216,1122,14.020654524842298,0.9166666666666666,0.0019038765510371676
0.0,0,hard,10.22,False,NPS,6,None,1,7.427397260273972,4.6778122086228455,0.8497716894977168,0.9733806566104702,7.958067456700091,24.521422060164088,1127,1097,3.611395248265453,0.9712918660287081,0.001969504651756498
0.0,0,hard,10.22,False,LRTF,6,None,99,44.69315068493151,47.454342362971374,0.9876712328767123,0.9069148936170213,7.810361681329423,19.257086999022484,1128,1023,8.394461274572958,0.8993288590604027,0.0018447401879771047
0.0,0,hard,10.22,False,NPS,6,None,5,6.391780821917808,4.0370049518205695,0.8835616438356164,0.9909255898366606,7.894688644688645,20.238095238095237,1102,1092,3.836055057845118,0.9900497512437811,0.0020574244933745933
0.0,0,hard,10.22,False,LRTF,6,None,81,107.51780821917808,59.958719578306514,0.9689497716894976,0.8347457627118644,7.808121827411168,18.172588832487314,1180,985,16.01607483341935,0.8232094288304623,0.002002143972183744
0.0,0,hard,10.22,False,NPS,6,None,14,3.638356164383562,1.9044008527816985,0.7794520547945205,0.9770992366412213,7.8095703125,15.8203125,1048,1024,2.805573262463289,0.974869109947644,0.0018514198083541098
0.0,0,hard,10.22,False,NPS,6,None,13,5.158904109589041,3.448879182022042,0.8191780821917808,0.9896729776247849,7.945217391304348,24.0,1162,1150,3.1302771077808784,0.9888059701492538,0.002006723935443525
0.0,0,hard,10.22,False,LRTF,6,None,85,110.68219178082192,63.639548129153454,0.9885844748858449,0.8242220353238016,7.88265306122449,20.510204081632654,1189,980,12.165130418210374,0.81,0.0022195402551875958
