rho,rho_idx,sampling_mode,nps_intercept,discipline,n_agents,sla_hours,replication,target_f,amplitude,period_days,phase,avg_queue_length,peak_queue_length,avg_waiting_time_days,avg_capacity_utilisation,percent_cases_closed,avg_individual_nps,organisation_nps,organisation_nps_first_half,organisation_nps_second_half,percent_detractors,percent_passives,percent_promoters,total_cases_arrived,total_cases_closed,arrivals_after_burnin,avg_case_resolution_time_days,percent_cases_closed_last_335,top_class_size,bulk_class_size
0.5,2,hard,10.22,NPS,6,None,95,,0.25,14.0,0.0,121.43287671232876,279,69.39647373388902,0.9940639269406394,0.7828793774319066,7.828031809145129,19.980119284294233,16.69902912621359,25.062656641604008,0.27236580516898606,0.2554671968190855,0.4721669980119284,1285,1006,1193,8.365123364324722,0.7661357921207042,0,0
1.0,4,hard,10.22,NPS_BINNED,6,None,2,0.2,0.25,14.0,0.0,6.065753424657534,36,4.040618619633073,0.8789954337899545,0.9910130718954249,7.901896125309151,21.187139323990106,20.41139240506329,19.832985386221292,0.26875515251442705,0.25061830173124483,0.4806265457543281,1224,1213,1122,3.3496029509806053,0.9901960784313726,244,122
0.5,2,hard,10.22,NPS_BINNED,6,None,99,0.2,0.25,14.0,0.0,61.364383561643834,105,59.561747918497105,0.9926940639269407,0.9171452009844134,7.846153846153846,19.946332737030414,19.322033898305087,23.185011709601877,0.2924865831842576,0.21556350626118068,0.4919499105545617,1219,1118,1118,11.980516947622899,0.909660107334526,244,122
0.5,2,hard,10.22,NPS_BINNED,6,None,96,0.2,0.25,14.0,0.0,130.24657534246575,249,71.47678676397817,0.9949771689497717,0.7958366693354684,7.866197183098592,19.617706237424542,22.839506172839503,18.64406779661017,0.2917505030181087,0.22032193158953722,0.4879275653923541,1249,994,1148,9.654671739308677,0.7831010452961672,250,125
1.0,4,hard,10.22,NPS,6,None,2,,0.25,14.0,0.0,16.5972602739726,89,7.536535633359812,0.895890410958904,0.9918300653594772,7.895387149917628,20.59308072487644,19.936708860759495,22.500000000000004,0.2825370675453048,0.22899505766062603,0.48846787479406917,1224,1214,1122,6.565995077059001,0.9910873440285205,0,0
0.5,2,hard,10.22,NPS,6,None,94,,0.25,14.0,0.0,165.03013698630136,328,78.2276679568452,0.9949771689497717,0.7380015735641228,7.778251599147121,15.884861407249462,17.177914110429445,17.962466487935657,0.3049040511727079,0.23134328358208955,0.46375266524520253,1271,938,1176,10.35747056123956,0.7329931972789115,0,0
0.5,2,hard,10.22,LRTF,6,None,100,,0.25,14.0,0.0,135.5917808219178,231,83.22304405451426,0.9949771689497717,0.8299919807538091,7.802898550724637,18.743961352657006,14.694656488549619,22.22222222222222,0.28792270531400965,0.23671497584541062,0.4753623188405797,1247,1035,1141,16.60962947567235,0.8220858895705522,0,0
0.5,2,hard,10.22,NPS_BINNED,6,None,100,0.2,0.25,14.0,0.0,65.59726027397261,132,74.2898390988335,0.9949771689497717,0.9133921411387329,7.921861281826163,23.441615452151005,24.567474048442904,20.869565217391305,0.2677787532923617,0.23002633889376647,0.5021949078138718,1247,1139,1141,9.274340020346546,0.9097283085013146,249,125
1.0,4,hard,10.22,SRTF,6,None,3,,0.25,14.0,0.0,32.032876712328765,77,53.533275947474436,0.98675799086758,0.9699604743083003,7.933170334148329,23.553382233088833,24.499229583975346,24.081632653061224,0.2697636511817441,0.22493887530562348,0.5052974735126324,1265,1227,1177,8.022685005849803,0.967714528462192,0,0
0.5,2,hard,10.22,NPS,6,None,98,,0.25,14.0,0.0,94.01095890410959,190,64.474985426194,0.9954337899543378,0.8543151227236738,7.7321594068582025,15.106580166821127,13.017751479289942,16.45299145299145,0.3002780352177943,0.24837812789620017,0.45134383688600554,1263,1079,1159,10.572389371455888,0.8412424503882657,0,0
